video_id,title,published_at,likes,view_count,comment_count,comment_text
I1D7jRktEyU,M. Nasir – Satu Hari Di Hari Raya (Official Lyric Video),2020-05-13T05:00:04Z,62081,16966215,3157,Siapa mendengar lagu ni 1/6/2025
I1D7jRktEyU,M. Nasir – Satu Hari Di Hari Raya (Official Lyric Video),2020-05-13T05:00:04Z,62081,16966215,3157,"mkhluk no ,only God"
I1D7jRktEyU,M. Nasir – Satu Hari Di Hari Raya (Official Lyric Video),2020-05-13T05:00:04Z,62081,16966215,3157,yg membuka pintu kebahagiaan ialah Allah
I1D7jRktEyU,M. Nasir – Satu Hari Di Hari Raya (Official Lyric Video),2020-05-13T05:00:04Z,62081,16966215,3157,suara pujian pada yg Esa
I1D7jRktEyU,M. Nasir – Satu Hari Di Hari Raya (Official Lyric Video),2020-05-13T05:00:04Z,62081,16966215,3157,ahlan wa sahlan ya Ramadan 1447 H / 2026 M
I1D7jRktEyU,M. Nasir – Satu Hari Di Hari Raya (Official Lyric Video),2020-05-13T05:00:04Z,62081,16966215,3157,2025😢❤
I1D7jRktEyU,M. Nasir – Satu Hari Di Hari Raya (Official Lyric Video),2020-05-13T05:00:04Z,62081,16966215,3157,bang coba bikin mobil Van 🇮🇩 vs NIKE ZEBUA 🇺🇿
I1D7jRktEyU,M. Nasir – Satu Hari Di Hari Raya (Official Lyric Video),2020-05-13T05:00:04Z,62081,16966215,3157,tiap kali buka lagu air mata laju keluar mana tak sedih arwah mak pergi bulan satu tahun ini tiap kali raya rumah saudara saudara hidang nasi dangang mesti teringat kat arwah mak dia teringin rasa makan yang kakak aku buat tak kesampain🥲
I1D7jRktEyU,M. Nasir – Satu Hari Di Hari Raya (Official Lyric Video),2020-05-13T05:00:04Z,62081,16966215,3157,Tiap2 tahun nk kena komen siapa dgar tahun ni ka? Mesti la dengar. Lagu raya lama ni best selamanya. Semak betul mcm tak ada komen lain.
I1D7jRktEyU,M. Nasir – Satu Hari Di Hari Raya (Official Lyric Video),2020-05-13T05:00:04Z,62081,16966215,3157,Setiap tahun mesti cari lagu ni hinggalah sekarang 2025
I1D7jRktEyU,M. Nasir – Satu Hari Di Hari Raya (Official Lyric Video),2020-05-13T05:00:04Z,62081,16966215,3157,SITI walau pun i tk berjoh dengan u i DOA kan Dari hati i u😢 dapat hidup bahagiya Dan jaga IBU u dan kirim Salam dengan Anja 😢❤
I1D7jRktEyU,M. Nasir – Satu Hari Di Hari Raya (Official Lyric Video),2020-05-13T05:00:04Z,62081,16966215,3157,Selamat Hari Raya
I1D7jRktEyU,M. Nasir – Satu Hari Di Hari Raya (Official Lyric Video),2020-05-13T05:00:04Z,62081,16966215,3157,Terbaik
edd_sKza6QE,MEDLEY RAYA (Music Video),2021-05-12T10:00:18Z,8801,2154825,345,"Like comment share & subscribe anda sangat membantu kami untuk hasilkan video yang lebih baik akan datang ! Thank you semua 🙏🏻

Korang nak Medley apa pulak lepas ni? 🤔 
COMMENT CEPAT !!!"
edd_sKza6QE,MEDLEY RAYA (Music Video),2021-05-12T10:00:18Z,8801,2154825,345,br tahun nki tahu akan medley ni....rupanya da 3 tahun video ni
edd_sKza6QE,MEDLEY RAYA (Music Video),2021-05-12T10:00:18Z,8801,2154825,345,"dlm byk² medley raya , ni yg paling sedap . susunan lagu terbaik , suara sedap , irama layan lentok . kalau boleh buat lagi medley mcmni yg panjang sikit , setengah jam pun ok dah . hahahaha"
edd_sKza6QE,MEDLEY RAYA (Music Video),2021-05-12T10:00:18Z,8801,2154825,345,masih setia mendengar 13/04/2025
edd_sKza6QE,MEDLEY RAYA (Music Video),2021-05-12T10:00:18Z,8801,2154825,345,Medley yg sedap didengar 🎉🎉🎉🎉🎉
edd_sKza6QE,MEDLEY RAYA (Music Video),2021-05-12T10:00:18Z,8801,2154825,345,Masih suka lagu melayu kalo lebaran. Walo darah mix minang jawa
edd_sKza6QE,MEDLEY RAYA (Music Video),2021-05-12T10:00:18Z,8801,2154825,345,Best improvisation for raya song ever 4:58  and 5:09
edd_sKza6QE,MEDLEY RAYA (Music Video),2021-05-12T10:00:18Z,8801,2154825,345,Mantap... Suka
edd_sKza6QE,MEDLEY RAYA (Music Video),2021-05-12T10:00:18Z,8801,2154825,345,Balek Kampong idul Fitri 1446🎉
